requirement_id,domain,requirement_text,modal_issue,vague_issue,measurability_issue,verifiability_issue,annotator_notes
R-101,Telemedicine,"Register patients and doctors using email, phone number, and strong password (minimum 8 alphanumeric characters).",0,0,0,0.0,Explicit password criterion makes the requirement objectively assessable.
R-102,Telemedicine,"Support RBAC with Patient, Physician, Nurse, and Admin roles.",0,0,0,0.0,"The defined roles are testable, but there is no quantitative or threshold criterion."
R-103,Telemedicine,Enforce MFA via OTP for all doctor and admin accounts.,0,0,0,0.0,The requirement is objectively testable but contains no quantitative criterion.
R-104,Telemedicine,"Allow patients to update address, emergency contact, allergies, and medications.",0,0,0,0.0,"The functionality is testable, but no measurable criterion is specified."
R-202,Telemedicine,Ingest vital signs every 5 minutes (configurable) and store them in a time-series database.,0,0,0,0.0,Explicit frequency and storage target.
R-204,Telemedicine,"If no device data is received for more than 60 minutes, alert the patient and assigned nurse.",0,0,0,0.0,Explicit 60-minute threshold and defined alert action.
R-302,Telemedicine,Allow doctors to configure patient-specific warning and critical thresholds.,0,0,0,0.0,"Threshold configuration is testable, but the threshold criteria themselves are not specified."
R-303,Telemedicine,"Trigger Critical Alert with red banner, audible alarm, SMS, and push notification when thresholds are crossed.",0,0,0,0.0,"The required outputs are testable, but no quantitative criterion is given."
R-403,Telemedicine,Encrypt video consultations end-to-end using WebRTC technology.,0,0,0,0.0,"Technology and encryption behavior are testable, but no quantitative criterion is specified."
R-404,Telemedicine,Record consultations only with explicit consent from both parties and retain securely for 7 years.,0,1,0,0.0,The seven-year retention period is measurable; 'securely' is insufficiently defined.
NFR-01,Telemedicine,"Ingest data from at least 10,000 concurrent devices.",0,0,0,0.0,Explicit capacity requirement.
NFR-06,Telemedicine,Maintain detailed patient-record access audit logs.,0,1,1,1.0,"'Detailed' is undefined, making the acceptance condition insufficiently objective."
NFR-07,Telemedicine,Enforce 10-minute inactivity timeout for clinical users.,0,0,0,0.0,Explicit 10-minute threshold.
NFR-12,Telemedicine,"Design for low technical proficiency with large fonts, high contrast, and voice-over support.",0,1,1,1.0,'Low technical proficiency' is undefined and no concrete accessibility thresholds are specified.
NFR-14,Telemedicine,90% of new patients should pair a wearable and view vitals within 5 minutes without support.,1,0,0,0.0,"The requirement is measurable and verifiable, but 'should' weakens the mandatory obligation."
FR-A-01,Hospital,"The system must allow receptionists to register a new patient by capturing Name, DOB, Contact Info, and Emergency Contact.",0,0,0,0.0,Functionality is objectively testable but no quantitative or threshold criterion is specified.
FR-A-02,Hospital,The system must generate a unique Patient ID (format: PAT-YYYY-XXXXX) for every registration.,0,0,0,0.0,Explicit identifier format provides an objective acceptance criterion.
FR-A-03,Hospital,"The system must provide a global search bar to retrieve patient records using Name, Phone, or Patient ID within < 1 second.",0,0,0,0.0,Explicit search fields and response-time threshold.
FR-B-02,Hospital,"The system must maintain a versioned audit trail of all changes made to an EHR (who edited it, when, and what was changed).",0,0,0,0.0,"Required audit information is defined, but no quantitative criterion is specified."
FR-B-04,Hospital,"The system must flag critical allergies (e.g., Penicillin) prominently in red across all screens to prevent medication errors.",0,1,0,1.0,'Prominently' is subjective and lacks an objective acceptance criterion.
FR-C-02,Hospital,The system must send an automated alert to the Procurement Manager when stock levels fall below a defined minimum threshold (reorder level).,0,0,0,0.0,Explicit threshold-based trigger and recipient.
FR-D-04,Hospital,The system must generate tax-compliant invoices (GST/IRS compliant) and send a PDF copy to the patient's registered email.,0,0,0,0.0,"Compliance standard and PDF/email behavior are testable, but no quantitative criterion is specified."
HW-02,Hospital,The system should integrate with biometric fingerprint scanners for secure staff attendance marking.,1,1,0,1.0,'Should' weakens obligation and 'secure' lacks an objective security criterion.
